"exercise_title", "translation"

"Standing Calf Raise (Dumbbell)", "Elevação de Panturrilha em Pé (Halter)"
"Bicep Curl (Barbell)", "Rosca Direta (Barra)"
"Crunch (Machine)", "Abdominal na Máquina"
"Leg Press Horizontal (Machine)", "Leg Press Horizontal (Máquina)"
"Lat Pulldown - Close Grip (Cable)", "Puxada Alta - Pegada Triângulo"
"Shoulder Press (Machine Plates)", "Desenvolvimento de Ombros (Máquina de Placas)"
"Lying Leg Curl (Machine)", "Mesa Flexora (Máquina)"

"Squat (Barbell)", "Agachamento (Barra)"
"Hammer Curl (Dumbbell)", "Rosca Martelo (Halter)"
"Bench Press (Dumbbell)", "Supino (Halter)"
"Seated Leg Curl (Machine)", "Cadeira Flexora (Máquina)"
"Iso-Lateral Row (Machine)", "Remadas Iso-Lateral (Máquina)"
"Triceps Rope Pushdown", "Tríceps na Polia com Corda"
"Crunch (Machine)", "Abdominal Na Máquina"
